text,label
"자꾸 아 이건 다들 초등학교때 배웠을 텐데~ 하면서 설명 생략하시는데
그거 고딩 화2 과정이엇는디요...
기만 대박임",0
시험이 11월에 끝나는 ㅂㅅ이 있다?,0
"연애하고 싶다 이런건 아니고 (이미 남친 있음)

최근에 축하 받을 일 생겼는데 남친은 포항에 있지, 부모님은 외국에 계시지 우리 친척들은 나한테 관심 없지 내 친한 친구 2명은 맨날 바쁘대지 학교에 친구 없지

진짜 혼밥 하면서 내 자신을 축하해주는 내 모습이 너무 쓸쓸해보여...",0
"이제 복전이라고 뜨게 주잖아... 그래도 회사에서 볼 때는 복전이라도 상경학위 있는게 더 낫겠지?
물론 스펙이 비슷한데 상경 복전, 상경 원전공 있으면 원전공자를 뽑겠지만 아예 복전도 안 한것 보다는 좋겠지?
아니 이제 복전 뜨니깐 소용없으니 그냥 복전 하지말라고 부모님이 그러시더라고",0
"오뚜기 정신을 본받아 숱한 실패에도 마음을 다잡고 다시 도전하는 사람이 멋진 사람이다.
멋진 사람이 되고자 멋져 보이는 사람들 곁에 있으려 노력했고 스스로도 부단히 반성했지만 능력 부족으로 스스로에 대한 확신도, 비전도, 끈기도, 열정도 사라져 스스로가 생각하기에 가장 혐오스러운 회색 사람이 되어 버렸다.
자타공인의 좋은 피드백을 받을 정도로 잘 해야 하는데 그렇지 못함에 슬프다.
과정 속에 있어서 온전한 결과물이 어떨지 알지 못하기에 더더욱 타인 앞에 나설 수 없고 위축되는 것 같다.
자꾸만 늦잠을 자고 싶고
이불 속에서 나오기 싫고
밖으로 도망가거나
책상 밑으로 숨고 싶은 건
이런 이유에서일 거라 생각한다.",1
살려주세요...,1
"내가 워낙 완벽주의자이기도하고 학업, 예체능 등을 포함한 여러 면에서 오빠보다 출중하단말이야 (객관적으로 다들 그렇게 말해, 가족제외)
그래서 그런지 엄마는 더 오빠 기 세워주려고 하는 말인지 맨날 오빠는 손재주가 참 좋다, 성격이 참 좋다, 재능이 있다,, 이렇게 직접적으로 좋은 말을 많이 해주는데
나한테는 절대 칭찬 안 해줘, 공부 잘해도 그냥 그러려니, 다른 것들도 남이 엄마한테 "" **이 참 이것저것 다 잘한다~"" 라고 말하면 항상 ""**이는 뭐든 열심히 해, 노력하는 스타일이야"" 이런식으로만 말해.
물론 맞는 말이야, 난 어릴적부터 애정결핍이였던 것 같고 그래서 더 열심히 살았고 뭐든 오빠보다는 잘 하려고 했었어, 노력파가 맞아, 하지만 어른이 되었고 시간이 많이 흘렀는데도 엄마한테 항상 서운한 마음이야. 그래서 더 틱틱대고 소통하기 싫어져, 가장 나를 아껴주고 보듬어줘야 할 사람이 되려 내 자존감 깎고 있는 것 같아서 솔직히 마주보고싶지도 않아.
그런데 엄마도 마음이 여려서 요즘 우울해보인단 말이지, 그 모습을 내가 또 그냥 못봐서 잘해주고 싶어해, 그런데 내가 좋은 곳 데려가고 기쁘게 해주려 해도 엄마는 뭐든 오빠랑 하고싶어하는 것 같고 나랑 있는 걸 별로 안 좋아하는 것 같아서.. 그냥 뫼비우스의 띠 같아.

다들 집에서 어때
혹시 나처럼 차별대우 당하는 사람 또 있니..",0
자리좀 반납하구가라ㅠ,0
"괜찮아, 안 괜찮아도.

집중이 안 되어도, 하루종일 멍해도
괜히 불안해하지 말고
할 수 있는 일을 하나씩 해봐",1
"차 타고 가야되나

시즌권 살 건데 좀 머네..?",0
다시태어나고싶다,1
며칠 전엔 족보 사기당했다는 글 있었는데 오늘은 아이패드네,0
공부하다 졸았는데 잠이 확깨네 시발시발시발,0
죽고싶다,1
"우울증 자조모임 하실분 구해요 세명이상부터 진행할거고 한분만 더 구해지면 시작할려구요! 일 이주에 한번 모여서 서로의 힘든점 극복 방법 하루를 어떻게 보냈는지 어떻게 보내고 싶은지 등에 대해 이야기 하려고 합니다.
익명으로 오셔서 서로 나이 이름 학과등은 안 물어볼 예정이구요.
장소는 율전입니다.",1
ㅇㅅㅇ !!,0
자꾸 벗겨지는데 구두 수선집? 가면 되나..??,0
"건강하지 않은 것 아닐까 싶은 생각이 요즘 들어. 그냥 별 대단한 이유는 없는데 한번 기분이 가라앉으면 그걸 감당하지 못하겠어. 그냥 단순히 내가 약한걸까? 어제는 그냥...나가야 하는데 옷이 너무 안 예뻐서, 내가 너무 뚱뚱해서, 기분이 안 좋은거야. 그래서 하루종일 기분이 안 좋았어. 그것 때문에 내내 안 좋은건 아니었는데, 그냥 그걸 시작으로 그 다음엔 이유도 없이 그냥 기분이 안 좋았어. 거기에 사로잡혀서 아무것도 못했어. 그냥 그에 섞여 죽을 것처럼. 오늘도 그래. 그냥 대화가 잘 안 풀려서 기분이 안 좋았는데, 그거로 또 확 가라앉네. 그냥 또. 그냥 내가 한심한 것 같아. 그냥 내가 한심해. 그냥 내가 한심한 탓인 것 같아. 남들은 그렇게 열심히 살고 그렇게 이겨내고 그렇게 멋지게 사는데 나는 고작 옷이 안 예뻐서 대화가 안 풀려서 이러고 있다는게 나는 너무 약한걸까 이것마저 자기연민일까.",1
수원이나 서울에 좋은 상담센터 추천받아요 인지치료 가능한 곳이면 더 좋구요,1
"자존감이 너무 낮은 애들
어떻게 극복했니 ㅠ
난 내 상태를 아니까 티 안내려고
남들한텐 괜찮아보이려고 엄청 노력하는데
혼자 있으면 너무 무기력해져.......",1
우울이 디폴트가 된 지 오래되니까 벗어날 방법도 모르겠고.. 그냥 꾸역꾸역 산다 기계처럼,1
진짜 절대 못하나요? 학교에 전화해도 안되나요?,0
1번문제 쪽지보냈는데 채팅창에 18번에 쓰라고 공지했다고..ㅋㅋㅋㅋㅋ 혹시 확인한 사람 있어? 답쓰느라 시간 부족해서 확인못했는데..,0
"친구도 없고 애인도 없고 하고 싶은 일도 없다 허허
나 진짜 한심해",1
"여기서는 학생들이 원룸 구하면서 만나는 게 대부분이다 보니 좀 안좋은 인식/이미지가 많이 퍼져있는 것 같아 중개수수료는 당연하듯이 최대한 깎으라는 말도 많고... 물론 돈 적게 들이면 좋은 거긴 한데 사실 원룸 중개수수료는 진짜 얼마 하지도 않거든
부모님이 원룸촌은 아니지만 본가 아파트 단지에서 부동산 하시는데 수수료 깎아주는 걸 당연하게 여기는 사람이 너무 많아서 속상함... 아파트는 억단위로 거래되다 보니까 수수료도 많이 나와서 부담인 건 알겠는데 우리 부모님은 항상 몇십만원씩 깎아주시거든 물론 이상하고 나쁜 사람들도 있겠지만 다들 너무 부정적인 이미지만 가지진 않아줬으면 좋겠어ㅎㅎ 안 그래도 최근에 법 개정으로 수수료율 절반 이하로 똑 떨어져서 힘든데 깎아주면 감사인사 정도는 하자!",0
행렬 minors confactors도 3x3으로 나오는데 어째서 계속 틀리는거죠??? 여러분의 이해를 돕기위한 이미지 참고부탁,0
"아니 좀 내가 싫다고 의사표현을 하면 안 했으면 좋겠어. 아무리 부모라도. 아무리 날 낳은 주인이더라도.

내가 싫다고 한 두 번 얘기했으면 좀 들었으면 좋겠어. 100번 넘게 얘기해도 비웃거나 장난치며 반응하는 거 죽이고 싶어. 사람 미치게 만드는 건 진짜 한 재주 하는 것 같아.

벽에다 얘기하는 것보다 훨씬 사람을 미치게 해.",1
"소개팅하는사람 186 이래...
괜찮...겠지?",0
"따따따라라라따따따라라라따따
따따따라라라따따따라라라따따

막 이래요
남자 팝송 ㅠㅠ",0
요즘도 카운슬링센터 한 달 정도 대기하나요? 명륜이에요,1
"다들 자신의 연인과 함께 길을 걸어가는데, 저는 계속 혼자 걷게되네요.",1
잇나? 없나?,0
홈으로 가즈아,0
"글이나 댓글 적을때마다 익명 계속 눌러줘야하는거야??
개 귀찮음 ㅠㅠ
내가 모르는 설정 버튼 없을까?",0
"오늘 처음으로 병원 가봤어요
결과를 기다리는 동안에도 내가 그냥 오버한 것이면 좋겠다고 생각했는데 생각보다 결과가 안좋았어요
우울증, 불안장애 진단을 받았고 공황장애에 가까운 상황이라고 말씀하셨어요

병원에서 나오고 아빠랑 통화했는데 눈물이 많이 났어요
정말 도움이 필요하다는 사실을 인정해야 하고, 좋지못한 소식을 전해드린 것에 대한 죄송함, 그럼에도 불구하고 치료하면 된다, 너무 마음쓰지 말라고 말해주시는 감사함.

후련하기도 하고 초조하기도 한 밤이네요. 치료 꾸준히 받으면 나아질 수 있겠죠..? 언젠가부터 생각조차 하지 않게 되었던 행복이란 감정도 느낄 수 있게 되겠죠..? 우울증 초보라 우왕좌왕하는 저에게 잘 될거라고 한 마디만 해주신다면 감사하겠습니다

좋은 밤 되세요",1
"취준때매 우울증 걸리겠다

나름 고딩때는 공부 잘하고 성실했는데 인생",1
학교 진짜 오랜만에 가서 모르겠음,0
"상황은 작년이랑 비슷한데, 내 상태가 너무 안좋은거야 그래서 보니까 일기를 작년엔 좀 쓰다가 올해들어 한번도 안썼더라고

어제 새벽에 일기쓰고 딴짓 할 기운도 없이 그냥 자버렸더니 오늘 컨디션도 훨씬 나아진거같아",1
자기 고민 적고 가봐요,1
내가 이 게시판을 반년만에 들어오다니 아직 우울하긴 해도 많이 건강해졌구나 나,1
"요즘은 개그콘서트 달인이랑 시청률의제왕 보고있음

이거 보면 정신놓고 웃더라 근데 점점 볼게 없어져서",0
브실골도 밴픽 전적보고넣어?,0
괜찮은 정신병원 선정하는 법 어떻게 해야할까요 ㅠㅠ,1
12번 ㄱ 왜 틀린거야..?,0
예관은 왜 5층일까,1
"우울증은 아니지만 심각한 고민이 있어요.

저는 중학교때 반장이나 앞에 나서는걸 좋아해서 선생님들께 예쁨을 많이 받았었어요. 그래서인지 참 말도안되는 이유로 또래친구들에게 갖은 뒷담화,앞담화까지 다 들었는데, 지금이야 기억도 잘안나지만 사춘기었던 그때에는 정말 스트레스였어요.
그러면서 성격이 소극적으로 많이변했는데, 당연한 의사표현도 제대로 못해요. 성인이 되고나서부터는 이게 큰 불편함으로 와닿더라고요. 부당한 일을 당하고도 화내긴커녕 거부하는 말도 못해요. 해보려고 여러번 노력했는데 그냥 아예 입밖으로 그 말이 안나와요. 너무 답답해서 미치겠는데 정말 못하겠어요. 또래들에게 미움받았던게 트라우마가 된것일까요.. 그 이전에는 화도 잘내고 의사도 똑부러지게 표현했는데 속상해요.
정신과에 가볼까요??이런 이유로 정신과가는 사람도 있나요ㅜㅜ",1
"불면증 심하신 분들

- 마그네슘 영양제 먹기 (본인: 아이허브 닥터스베스트)
- 저녁에 따뜻한 우유나 차 마시기(캐모마일 등)
- 낮에 햇빛 쬐기 (*의사가 강조했음), 깨어있기
- 잠들기 2~4시간 전 운동하거나 스트레칭(요가/폼롤러 추천) 하기
- (여자분) 제 경우 pms 기간에 극심해짐: 너무 스트레스 받지 않도록 마인드컨트롤
- 아침에 일어나서 다시 잠들지 않기, 일어날 때 창문 자연광으로 깨는 게 생체리듬에 좋더라고요
- 수면앱 쓰기 (기록용)
- 잘 때 본인한테 맞는 asmr 듣기
- 잡생각/걱정 의식적으로 지우기: 같은 생각을 반복적으로 하거나, 심호흡 하기. 안되면 차라리 지루한 다른 거 하기(본인: 헌법조문 읽기)

한 번 시도해보세요. 제가 불면증 심해진 요 한두달 해본 것들인데 요즘 많이 나아졌고, 어젠 참 오랜만에 자다가 중간에 깨지 않았어요. 원래는 한두시간 만에 잠들고 새벽에 세네번 깨느라 미치는 줄 알았거든요.

저는 소음 때문에 귀마개 끼고 자느라 asmr 못 들어서, 10분 눈 감고 있어도 잠 안 오는 것 같으면 요즘은 헌법 조문 읽어요. 한 5~10분 정도 읽으면 지루하고 눈 감겨요. 재밌는 거 읽으면 절대 안돼요. 전공책 철학책이나 고전소설도 괜찮을 것 같아요.

불면증 때문에 병원은 따로 안 갔는데, 피부과 저녁약에 약간 졸리는 성분이 있긴 했어요. 정신과 약 복용하시는 분들도 저녁약 졸리는 성분이라 비슷한 여건일 거예요.",1
"사고가 났으면 좋겠어.
내 스스로 목숨을 끊으면 부모님이 너무 슬퍼하실테니까..",1
"애들아 나
오후쯤이 되어야 좀 더 차분해지고 집중이 더 잘 되는 느낌이라.. 그제서야 공부를 해.. 그냥 밤형 인간인건가?? 약이라도 먹어야 할까?",1
동갑 말고 친한 오빠 동생 or 친한 누나 동생 사이에서 둘이서 여행 갈 수 있다 생각해?,0
나 같은 건 죽어 없어져야 해,1
"요즘 왜이리 짜증이 잘나지... 마음도 조급해지고...
어제도 감정 조절 못하고 순간적으로 화나서 엄마한테 못 할 말 해버렸다...

난 왜 이러지.. 많이 부족하다 부족해... 지금도 화가나네....",1
"오늘도 어김없이 죽고 싶다는 생각이 든다
도망치듯이 집을 빠져 나왔다
어디서 죽는게 좋을지 둘러본다
그 와중에 남들은 하하호호 웃으면 밥을 먹는다",1
"요즘 왤케 우울하냐

돈 써도 잠깐
맛있는 걸 먹어도 잠깐
어딜 놀러가도 잠깐 뿐이네",1
"내 우울의 원인은 뭘까
근데 원인을 알아낸다고 나아질까",1
속이 너무 울렁거린다..ㅠ,1
"열심히 살아보고싶은데 왜 또 무기력해지고 우울해질까
마음잡고 부지런히 딴생각없이 살아보려해도 2주를 못가는듯
주변에 사람도 없고 연인도 없고 의지할데도 없고
내 운명을 내가 바꿔보고싶은데 그냥 타고난 팔자가 이렇다고 체념하고 싶고",1
약한 편이라서 백신 맞고 엄청 아플 줄 알았더니 왜 이렇게 멀쩡하지? 평소 컨디션이랑 똑같고 오히려 너무 멀쩡해서 이상해. 1차때는 정말 멀쩡했고 2차 맞고 일주일 지났는데 멀쩡해,0
"여자친구랑 3년 사귐
근데 여친은 나전에 전남친이랑 2년 동거수준으로 함
나는 첫여친이라 처음인데 얘는 진짜 전남친이랑 맨날 집에서 살면서 했을거란 생각에 3년이 지났는데도 불쑥불쑥 열받음",0
너무멱고싶다………….,0
글 리젠이 줄어듦..,0
"이건 세탁 어떻게 해야한다는 뜻인지 알려줄사람…
처음 주고 산 비싼 옷이라 옷에 영향 안가게 세탁하려하는데ㅠㅠ",0
빨리 가고 싶어 ㅠㅠ,0
"근육 표준이라 했을때 어느정도가
마름도 통통도 아닌 보통이라 부를 수 있는 몸무게야?",0
"휴학하고싶어
근데그렇다고 뭐나아진다는 보장도 없어
오늘도 환청을 들었어
그냥 죽고싶다라는 말을 향해서 모든 생각이 달려간다",1
"나 결국 수료했어

전공이 3.5도 안되는 점수라서
취업게시판에서는 자랑도 못하지만

그래도 버텼어…!
나혼자 칭찬해보고싶어서 그냥…",1
"오지도 않은 상황이 걱정이 되고
언제나 나는 참 바보같고
못난 거 같고
패배자 같고
위만 보면서 아등바등
실패한 사람마냥
조금 있으면 추락할 사람마냥 이러는 거
언젠가 나를 망칠 거 같아 무섭다",1
잔여백신 따로 신청하는 것 아닌 이상 불가능하죠?,0
단결하라!,0
"이제 열심히하지 않을거야
열심히 했는데도 결과가 이따구라니 이제 나도 편하게할거야 대충대충 설렁설렁 사람관계도 마찬가지야 열심히 해봤자 나만 피곤해 나만 손해야 나만 상처받아 지난 기억을 다 지워버리거나 그냥 혼자있고싶다",1
"강의 들으면서 깔끔하고 자세하게 정리해 둔 필기 정리본 구합니다.

퀄리티에 따라 부르는 게 값이 됩니다.

연락 주세요. 감사합니다.",0
나는 왜이렇게 내가 싫을까,1
를 한국어로 번역하면?,0
분개나 계산은 거의 안나오겠지? 말문제 줄줄 나오겠지?? ㅠㅠㅠㅠㅠ,0
찜닭보고가라,0
"자해하고 싶어
우산 사야지!",1
"힘들다는 정의를 모르겠어요
어느 선을 넘어야 힘들다고 말할 수 있는지
세상에 힘들지 않은 사람은 없는데
힘들다고 말하면
어린 애가 되는 것만 같아요
습관적으로 숨기고 억누르고 하니까
괜찮아지긴 하는 것 같더라고요
작은 일에서도 행복함을 느끼고 감사함을 느끼기도 하고요
근데 여전히 변함은 없어요
역시 질질 이어가는 것 보다 끝내는 게 맞는 것 같아요
그게 언제쯤일까 기다리면서
하루하루 살아가는 것 같아요",1
상담 시작했다 제발 나아지길,1
넷플릭스나 드라마 재밌게 본 거 있어?,1
"웃어라. 온 세상이 함께 웃을 것이다.
울어라. 너 혼자만 울게 될 것이다.

힘들어도 웃어보자
지금 여기서 더 바닥을 칠 순 없으니까",1
"어릴 때부터 공부공부, 대학교 잘 가야한다 공부공부
그래서 재수를 하게 됐고 극심한 우울증에 자해 불면 자살시도 별 나쁜 건 다 겪었는데
대학교에 왔더니 다시 공부 공부
이제 너는 공부만 하면 된다 뒷바라지는 자기가 하겠다

이 말이 얼마나 나를 불효새끼로 만드는 지 모르겠다
공부가 그렇게 중요하면 자기들이나 하지
그래놓고 나중에 힘들고 우울하면 뭐가 그렇게 만든 건지
지들끼리 또 탐색하지
그때가 되면 나는 어떻게 당신들 때문에 우울하고 괴롭냐고 말합니까",1
"여기 있는 친구들아 물어보고 싶은 게 있어

학교 선배 중에 진지하게 자살하고 싶어하시는 분이 계시고 인스타에다가 죽고 싶다고 올리셔 원래는 부계에만 하셨는데 이제 본계에서까지 그러시니까 맘이 안좋기도 하고,,, 사실 내 위선일지도 모르지만 이렇게 아무것도 안 하다가 언젠가 그 선배 장례식장에 간다거나 하면 그냥 너무 속상할 거 같아서 뭐라고 얘기라도 해 주고 싶은데 진지하게 자살 생각하는 친구들아 혹시 이럴 땐 어떻게 말해줬으면 좋겠어?

사실 좀 애매한게 고등학교 다니는 내내 그 선배랑 말 한번 섞어봤고 내가 일방적으로 아는 사이구,, 주변에 좋은 친구분들이 위로 메시지 장문으로 보낸 적도 많고든(인스타에서 봤어) 내가 뭐라고 그분한테 메시지 보내나 싶기도 하고 그러다가 후회할 것 같기도 하고 그래서... 혹시 조언 줄 수 있을까? 긴 글 읽어줘서 고맙고 다들 좋은 밤 보내??",1
이분 원래 후시 하나도 안똑같이 따라하는게 컨셉인거에요???,0
"기분 안좋을때 초콜릿 먹으면 달달함에 마비돼서 잠깐동안 덜 괴로웠는데
이제 초콜릿 먹어도 힘들다
내가 혐오스러워서 죽고싶어..... 어제는 답답해서 침대에서 발을 구르고 내 뺨에 주먹질도 해봤어
근데 아프지도 않고 분이 안풀려... 삭혀지지도 않아 눈물만 나 그냥 내가 살고 있는게 나를 화나게해
이건 뭐 어떻게 해야돼",1
김미김미나우 나오기 전에 웅장하게 협박하는 부분 너무 조와,0
"둘다 써본 사람 있어?
플라스틱이랑 고무 중에 뭐가 더 좋아?",0
내가 아프면 그나마 제대로된 가족이라면 괜찮냐고 물어봐줄주 알았어 어제 아프다고 말하고 누워서 겨우 잠들었는데 거실에서 오히려 더 크게 티비 틀고 웃고 떠들고 소리지르고 하는 소리에 깼어 나는 무슨 축제인줄 알았어 아 역시나구나 원래도 가식적으로 날 위하는 척 하는거 나도 알고 있었는데..어제 누워서 생각하고 뼈저리게 느꼈어 서운한건 이미 오래전이고 뭐가 정말 날 위한건지 생각해봤어 저 사람들한테 괜찮다는 소리 하나 듣는게 정말 날 위한건가 아니라는 생각 들어서 오늘 몸 일으켜 병원 다녀왔어 약도 먹고 이제 건강하게 나을거야 내가 좀 괜찮아보이니까 인상 찌뿌리는거 보니 어제 내 생각이 옳았어 이 집에는 내 편이 없어 그러니까 나도 이제 정말로 나를 위해 건강해질거야 잘먹고 잘살거야 정말로..,1
몸이 아픈 건 이해하는데 머리가 아픈건 왜 이해를 못 하지? 꼭 통각으로 느껴져야 아픈 건가? 난 괴로워 죽겠는데 이게 다 내가 게으르고 잘못돼서 그렇다고?,1
"우울증이랑 알콜 의존증이랑 같이와서
6개월 전에비해 20kg쪘어...
안그래도 자존감 낮았는데 20kg찌니까 사람 만나기도 싫고 길거리 사람들이 날 보면 돼지새끼라고 생각할거 같아서 나가지도 못하겠어",1
약으로 하는 자해는 사람 병신되기 딱 좋다고 혼났다,1
손목 그을때 그 문방구 칼로 어느정도 깊이로 그어요? 긋자마자 피나나요 아니면 좀있다가 올라오나요? 긋자마자 피나는건 너무 무서운데,1
"점점 세상과 템포 맞추는게 너무 어렵네
난 그냥 계속 멈춰서 이미 죽은 듯 사나봐",1
질문질문!! 바다여,0
어디로 가야해? 지하2층인데 어디로 가야할지 모르겠어요 ㅠㅠㅠㅠㅠㅠㅠ,0
"처음으로 끊어냈어요.
나만 매달리는 것같아서",1
"궁금하면 이거 클릭해서 보셈

https://www.google.com/amp/www.salgoonews.com/news/articleViewAmp.html%3fidxno=10831",0
동남아 여행 어떤가여?,0
"저는 고학번 늙은이구요,
마지막 학기를 남겨두고 우울증과 공황장애 때문에 폐쇠병동에 입원을 5차례나 하는 바람에 이제야 마지막 학기를 복학합니다.

게시판을 대충 읽어보니
제 예상과 같게 많은 20대 분들이 정신질환으로 인해 힘들어 하고 있으신게 보여 마음이 아프네요..

저는 이번 5번째 입원을 했다가 한달 전 쯤에 퇴원을 했구요, 전기발작치료, 경두개자극치료, 상담은 물론 이번에 개발된 신약치료까지 모두 겪으면서 이번에야 말로 조금 정상적인 구실을 하게 되어서요,

비록 완벽하지는 않지만 제가 겪으면서 가장 좋았던 행위들과 생각들, 그리고 방법들을 공유하면서 함께 이겨내고 싶어요.

무슨 질문이든 다 괜찮으니 용기내어서 해주세요. 여러분이 행복해지기를 바랍니다",1
"바닥에 앉아있다가 의자 손잡이랑 박았는데... 이게 이렇게 아플수가 있나 싶음...ㅜ
붓거나 멍든건 아닌데 손만 닿아도 아픔ㅜㅜ 이런걸로 병원을 가도 되는걸까",0
https://n.news.naver.com/article/082/0001124496?cds=news_my,0
글러먹은 사회성 때문에 괴롭힘 당해서라도 언젠가는 자살하게 될 건데 빨리 죽나 늦게 죽나 똑같이 주변 사람들한테 피해일거 그냥 결심이 서는 대로 죽어야지,1
"❣규칙❣

💟7:30-8:10 1차 인증(미인증시 벌금 2000)
💟8:50-9:10 2차 인증(미인증시 벌금 1000)
💟둘 다 미인증시 벌금 3천원(*1차 2차 모두 인증 필수)
💟주중은 의무, 주말은 자유(+추석 연휴, 대체공휴일 등 모든 '빨간날'은 자율)
💟면제권 주1회 가능, 새벽 2시까지 통보
💟면제권 사용 통보 후 인증 성공하면 면제권은 유지하는 것으로 간주함
💟매주 돌아가면서 출석, 벌금 체크(사다리타기)
💟질병, 경조사 등 팀원 모두 동의할 때 당일 벌금 면제
💟보증금 10000원, 벌금 차감하고 환급
💟매달 마지막 금요일 인증이 끝나면 결산 후 모인 벌금의 1/n 입금
💟인증은 데이마인 어플 사진으로, 내가 깨어있음을 증명하는 사진이면 됩니당",0
나는 행복할꺼야,1
국제어 경원 혹시 중간 시험날짜 공지해주셨나요?,0
마음도 몸처럼 피흘리고 흉터생기고 아파하는게 보였으면 좋겠다. 막 궤양도 생기고 종양도 생기고 기형적으로 생기고 등등.... 그리고 치료도 수술해서 싹 나을 수 있다면 얼마나 좋을까?,1
"160중반부터 할 수 있는말
170초ㅡ160후반이면 그냥 얼굴이 안되는거",0
"밤마다 울고 잠은 푹 못자고
계속 그러다 보니 피곤해서 몸이 안 아픈 구석이 없다
이 와중에도 오늘 빼먹은 출석을 걱정하고
수업을 또 빼먹으면 불이익이 있을까봐 억지로 수업을 듣고
너무 가까운 곳으로 간다고 하면 택시 승차를 거부당할까봐 버스를 타고
아무도 만나고 싶지 않아서 병원에 가는게 싫다.
결정적으로 이렇게 자신을 학대해버리는 내가 너무 싫다.",1
